产品参考编码,产品/名称,产品/SKU 优先级,计量单位,包装数量,位置,位置/位置名称,可用数量,预留数量,数量,库位类型,长（cm),宽(cm),高(cm),状态,仓库,货架,位置.1,层数,在手
68.01.0164,,,,,,E180700,0.0,0.0,0.0,,,,,,,,,,False
68.01.0162,,,,,,E180700,0.0,0.0,0.0,,,,,,,,,,False
68.10.0101,,,,,,E180810,0.0,0.0,0.0,,,,,,,,,,False
64.06.0019,,,,,,E180410,48.0,24.0,72.0,,,,,,,,,,False
64.21.0098,,,,,,E150810,0.0,0.0,0.0,,,,,,,,,,False
64.04.0002,,,,,,E151000,151.0,0.0,151.0,,,,,,,,,,False
64.02.0004,,,,,,E151510,100.0,0.0,100.0,,,,,,,,,,False
63.03.0009,,,,,,D243410,66.0,0.0,66.0,,,,,,,,,,False
67.02.0039,,,,,,E191310,48.0,0.0,48.0,,,,,,,,,,False
64.02.0001,,,,,,E152810,60.0,0.0,60.0,,,,,,,,,,False
68.10.0184,,,,,,E222610,0.0,0.0,0.0,,,,,,,,,,False
67.11.0037,,,,,,D234020,36.0,0.0,36.0,,,,,,,,,,False
64.06.0020,,,,,,D233510,48.0,0.0,48.0,,,,,,,,,,False
66.09.0085,,,,,,D233710,0.0,0.0,0.0,,,,,,,,,,False
66.09.0086,,,,,,D233710,40.0,0.0,40.0,,,,,,,,,,False
64.06.0005,,,,,,D233410,24.0,0.0,24.0,,,,,,,,,,False
64.02.0011,,,,,,D233410,30.0,0.0,30.0,,,,,,,,,,False
64.22.0066,,,,,,E161810,300.0,0.0,300.0,,,,,,,,,,False
68.08.0275,,,,,,D233820,20.0,6.0,26.0,,,,,,,,,,False
64.02.0013,,,,,,D233210,240.0,0.0,240.0,,,,,,,,,,False
64.02.0007,,,,,,D233110,0.0,0.0,0.0,,,,,,,,,,False
64.02.0002,,,,,,D233310,0.0,0.0,0.0,,,,,,,,,,False
64.02.0003,,,,,,D243810,0.0,0.0,0.0,,,,,,,,,,False
65.11.0021,,,,,,D243810,0.0,0.0,0.0,,,,,,,,,,False
64.10.0121,,,,,,D243610,100.0,0.0,100.0,,,,,,,,,,False
64.22.0074,,,,,,D243610,0.0,0.0,0.0,,,,,,,,,,False
65.11.0024,,,,,,D243610,50.0,0.0,50.0,,,,,,,,,,False
64.10.0007,,,,,,D243610,100.0,0.0,100.0,,,,,,,,,,False
64.22.0079,,,,,,D243310,0.0,0.0,0.0,,,,,,,,,,False
64.22.0062,,,,,,D243310,0.0,100.0,100.0,,,,,,,,,,False
64.10.0016,,,,,,D243310,0.0,0.0,0.0,,,,,,,,,,False
64.22.0073,,,,,,D243310,500.0,0.0,500.0,,,,,,,,,,False
64.22.0082,,,,,,D243210,0.0,0.0,0.0,,,,,,,,,,False
65.11.0018,,,,,,D243210,0.0,0.0,0.0,,,,,,,,,,False
65.11.0022,,,,,,D243210,0.0,0.0,0.0,,,,,,,,,,False
65.11.0019,,,,,,D243210,100.0,0.0,100.0,,,,,,,,,,False
65.11.0023,,,,,,D243110,50.0,0.0,50.0,,,,,,,,,,False
68.01.0223,,,,,,D233300,0.0,0.0,0.0,,,,,,,,,,False
68.01.0222,,,,,,D233300,0.0,0.0,0.0,,,,,,,,,,False
68.01.0271,,,,,,D233300,0.0,0.0,0.0,,,,,,,,,,False
68.01.0281,,,,,,D243300,0.0,0.0,0.0,,,,,,,,,,False
68.01.0211,,,,,,D243300,0.0,0.0,0.0,,,,,,,,,,False
66.09.0075,,,,,,E190800,57.0,0.0,57.0,,,,,,,,,,False
68.01.0212,,,,,,E190700,0.0,0.0,0.0,,,,,,,,,,False
68.01.0219,,,,,,E190700,0.0,0.0,0.0,,,,,,,,,,False
68.01.0210,,,,,,E190700,0.0,0.0,0.0,,,,,,,,,,False
68.01.0140,,,,,,E161000,24.0,0.0,24.0,,,,,,,,,,False
68.01.0144,,,,,,E161000,0.0,0.0,0.0,,,,,,,,,,False
68.01.0136,,,,,,E161000,0.0,0.0,0.0,,,,,,,,,,False
40.21.0145,,,,,,C142400,6.0,0.0,6.0,,,,,,,,,,False
40.09.0038,,,,,,C142300,0.0,0.0,0.0,,,,,,,,,,False
72.21.AMCT008-14,,,,,,AM0-07-04,1.0,0.0,1.0,,,,,,,,,,False
73.02.5385,,,,,,C183540,0.0,2.0,2.0,,,,,,,,,,False
73.02.5385,,,,,,C183440,6.0,2.0,8.0,,,,,,,,,,False
73.02.5385,,,,,,C192740,6.0,0.0,6.0,,,,,,,,,,False
73.02.5385,,,,,,C192340,8.0,0.0,8.0,,,,,,,,,,False
73.02.5385,,,,,,C182240,8.0,0.0,8.0,,,,,,,,,,False
66.09.0075,,,,,,E222420,40.0,0.0,40.0,,,,,,,,,,False
68.01.0162,,,,,,E221940,0.0,5.0,5.0,,,,,,,,,,False
68.01.0162,,,,,,E222020,0.0,10.0,10.0,,,,,,,,,,False
68.01.0163,,,,,,E222030,0.0,5.0,5.0,,,,,,,,,,False
68.01.0132,,,,,,E222320,0.0,9.0,9.0,,,,,,,,,,False
68.01.0162,,,,,,E220630,10.0,0.0,10.0,,,,,,,,,,False
64.21.0097,,,,,,E220640,720.0,0.0,720.0,,,,,,,,,,False
64.21.0097,,,,,,E221340,960.0,0.0,960.0,,,,,,,,,,False
64.07.0052,,,,,,E220530,96.0,0.0,96.0,,,,,,,,,,False
64.12.0002,,,,,,E220520,48.0,48.0,96.0,,,,,,,,,,False
67.12.0041,,,,,,E220420,12.0,12.0,24.0,,,,,,,,,,False
67.02.0039,,,,,,E221030,168.0,0.0,168.0,,,,,,,,,,False
67.02.0037,,,,,,E221330,312.0,0.0,312.0,,,,,,,,,,False
64.13.0017,,,,,,E221420,432.0,0.0,432.0,,,,,,,,,,False
64.06.0005,,,,,,E221430,48.0,24.0,72.0,,,,,,,,,,False
64.02.0011,,,,,,E221440,210.0,60.0,270.0,,,,,,,,,,False
66.06.0002,,,,,,E221740,36.0,12.0,48.0,,,,,,,,,,False
66.06.0003,,,,,,E222040,24.0,24.0,48.0,,,,,,,,,,False
64.02.0004,,,,,,E221820,78.0,26.0,104.0,,,,,,,,,,False
64.02.0003,,,,,,E221830,90.0,60.0,150.0,,,,,,,,,,False
64.02.0008,,,,,,E221920,72.0,0.0,72.0,,,,,,,,,,False
64.21.0098,,,,,,E220830,240.0,0.0,240.0,,,,,,,,,,False
64.21.0098,,,,,,E220920,144.0,0.0,144.0,,,,,,,,,,False
64.21.0098,,,,,,E220930,1200.0,0.0,1200.0,,,,,,,,,,False
64.21.0098,,,,,,E221020,1200.0,0.0,1200.0,,,,,,,,,,False
64.21.0098,,,,,,E221040,1200.0,0.0,1200.0,,,,,,,,,,False
64.21.0098,,,,,,E221120,960.0,0.0,960.0,,,,,,,,,,False
64.21.0098,,,,,,E221220,1104.0,0.0,1104.0,,,,,,,,,,False
64.21.0098,,,,,,E221230,1200.0,0.0,1200.0,,,,,,,,,,False
64.21.0098,,,,,,E220840,1200.0,0.0,1200.0,,,,,,,,,,False
64.21.0098,,,,,,E221540,1200.0,0.0,1200.0,,,,,,,,,,False
64.06.0006,,,,,,E221530,0.0,24.0,24.0,,,,,,,,,,False
43.02.0106,,,,,,AS2-03-04,11.0,0.0,11.0,,,,,,,,,,False
75.08.5145-3/4,,,,,,AS2-08-04,10.0,0.0,10.0,,,,,,,,,,False
73.02.3958,,,,,,BM0-03-02,17.0,0.0,17.0,,,,,,,,,,False
73.02.3958,,,,,,AS1-33-04,23.0,0.0,23.0,,,,,,,,,,False
73.02.5233,,,,,,BM0-13-04,9.0,0.0,9.0,,,,,,,,,,False
71.08.2452-1/3,,,,,,AS1-08-03,0.0,2.0,2.0,,,,,,,,,,False
71.08.2452-2/3,,,,,,AS1-10-03,5.0,2.0,7.0,,,,,,,,,,False
71.08.2452-3/3,,,,,,AS1-08-03,0.0,2.0,2.0,,,,,,,,,,False
71.07.1986-1/2,,,,,,AS1-09-03,1.0,3.0,4.0,,,,,,,,,,False
71.07.1986-2/2,,,,,,AS1-09-03,0.0,1.0,1.0,,,,,,,,,,False
73.01.1988-1/3,,,,,,BS2-19-03,2.0,0.0,2.0,,,,,,,,,,False
73.01.1988-2/3,,,,,,BS2-19-03,3.0,0.0,3.0,,,,,,,,,,False
73.01.1988-1/3,,,,,,BS2-20-03,8.0,0.0,8.0,,,,,,,,,,False
73.01.1988-2/3,,,,,,BS2-20-03,8.0,0.0,8.0,,,,,,,,,,False
73.02.2370,,,,,,AS1-21-04,23.0,2.0,25.0,,,,,,,,,,False
73.02.2370,,,,,,BS1-10-03,36.0,0.0,36.0,,,,,,,,,,False
72.21.AMCJ001-2,,,,,,G02-03-01,6.0,0.0,6.0,,,,,,,,,,False
72.21.AMFC005-1/2,,,,,,G02-04-01,24.0,0.0,24.0,,,,,,,,,,False
72.21.AMFC005-2/2,,,,,,G01-10-01,21.0,0.0,21.0,,,,,,,,,,False
72.21.AMCJ001-2,,,,,,G03-03-01,6.0,0.0,6.0,,,,,,,,,,False
40.09.0038,,,,,,C143840,4.0,0.0,4.0,,,,,,,,,,False
64.06.0008,,,,,,E221520,120.0,0.0,120.0,,,,,,,,,,False
64.21.0097,,,,,,E221240,1104.0,0.0,1104.0,,,,,,,,,,False
68.06.0008,,,,,,E190510,66.0,0.0,66.0,,,,,,,,,,False
61.05.ALN02,,,,,,D234030,19.0,0.0,19.0,,,,,,,,,,False
43.02.0258,,,,,,D130500,9.0,0.0,9.0,,,,,,,,,,False
40.04.0158-1/2,,,,,,D130100,9.0,0.0,9.0,,,,,,,,,,False
40.04.0158-2/2,,,,,,D130200,14.0,0.0,14.0,,,,,,,,,,False
40.04.0156-1/2,,,,,,D130300,10.0,0.0,10.0,,,,,,,,,,False
40.04.0156-2/2,,,,,,D130400,12.0,0.0,12.0,,,,,,,,,,False
40.04.0150,,,,,,D130600,0.0,0.0,0.0,,,,,,,,,,False
40.04.0158-1/2,,,,,,D130120,10.0,0.0,10.0,,,,,,,,,,False
40.04.0156-1/2,,,,,,D130320,9.0,0.0,9.0,,,,,,,,,,False
72.20.2172-2/3,,,,,,AS2-07-04,1.0,0.0,1.0,,,,,,,,,,False
75.01.3499-1/4,,,,,,AS2-07-04,1.0,0.0,1.0,,,,,,,,,,False
75.01.3499-2/4,,,,,,AS2-07-04,1.0,0.0,1.0,,,,,,,,,,False
75.01.3499-3/4,,,,,,AS2-07-04,1.0,0.0,1.0,,,,,,,,,,False
64.16.0018,,,,,,E212040,8.0,0.0,8.0,,,,,,,,,,False
66.01.0003,,,,,,E212240,120.0,0.0,120.0,,,,,,,,,,False
64.08.Y007,,,,,,E211720,20.0,0.0,20.0,,,,,,,,,,False
64.08.Y008,,,,,,E211720,25.0,0.0,25.0,,,,,,,,,,False
64.08.Y009,,,,,,E211720,26.0,0.0,26.0,,,,,,,,,,False
64.08.Y007,,,,,,E211730,50.0,0.0,50.0,,,,,,,,,,False
64.08.Y008,,,,,,E211730,50.0,0.0,50.0,,,,,,,,,,False
64.08.Y009,,,,,,E211730,50.0,0.0,50.0,,,,,,,,,,False
64.08.Y007,,,,,,E211740,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y008,,,,,,E211740,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y009,,,,,,E211740,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y007,,,,,,E211830,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y008,,,,,,E211830,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y009,,,,,,E211830,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y007,,,,,,E211940,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y008,,,,,,E211940,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y009,,,,,,E211940,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y007,,,,,,E212020,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y008,,,,,,E212020,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y009,,,,,,E212020,40.0,0.0,40.0,,,,,,,,,,False
64.08.Y007,,,,,,E212030,18.0,0.0,18.0,,,,,,,,,,False
64.08.Y008,,,,,,E212030,18.0,0.0,18.0,,,,,,,,,,False
64.08.Y009,,,,,,E212030,18.0,0.0,18.0,,,,,,,,,,False
65.03.0067,,,,,,E211840,36.0,0.0,36.0,,,,,,,,,,False
65.03.0067,,,,,,E211920,72.0,0.0,72.0,,,,,,,,,,False
64.19.0015,,,,,,E212120,144.0,0.0,144.0,,,,,,,,,,False
64.15.0075,,,,,,E212130,0.0,24.0,24.0,,,,,,,,,,False
68.06.0008,,,,,,E212140,54.0,0.0,54.0,,,,,,,,,,False
66.01.0006,,,,,,E212440,16.0,0.0,16.0,,,,,,,,,,False
66.01.0006,,,,,,E212540,24.0,0.0,24.0,,,,,,,,,,False
66.01.0006,,,,,,E211540,24.0,0.0,24.0,,,,,,,,,,False
66.01.0006,,,,,,E212420,16.0,0.0,16.0,,,,,,,,,,False
66.01.0007,,,,,,E212430,45.0,15.0,60.0,,,,,,,,,,False
64.15.0123,,,,,,E212520,244.0,0.0,244.0,,,,,,,,,,False
66.01.0011,,,,,,E212530,60.0,0.0,60.0,,,,,,,,,,False
66.01.0011,,,,,,E212630,45.0,0.0,45.0,,,,,,,,,,False
62.11.0001,,,,,,E222520,48.0,0.0,48.0,,,,,,,,,,False
62.11.0001,,,,,,E222720,60.0,0.0,60.0,,,,,,,,,,False
66.02.0157,,,,,,E222530,12.0,0.0,12.0,,,,,,,,,,False
66.02.0157,,,,,,E222540,12.0,0.0,12.0,,,,,,,,,,False
66.02.0157,,,,,,E222430,12.0,0.0,12.0,,,,,,,,,,False
66.02.0157,,,,,,E222630,8.0,0.0,8.0,,,,,,,,,,False
66.02.0157,,,,,,E222640,12.0,0.0,12.0,,,,,,,,,,False
66.02.0157,,,,,,E222730,12.0,0.0,12.0,,,,,,,,,,False
52.04.ABK2102,,,,,,C231200,2.0,0.0,2.0,,,,,,,,,,False
52.04.ABK2102,,,,,,C231100,2.0,0.0,2.0,,,,,,,,,,False
50.09.ALG8776,,,,,,C243010,1.0,0.0,1.0,,,,,,,,,,False
50.01.ALG8835,,,,,,C160300,1.0,0.0,1.0,,,,,,,,,,False
50.01.ALG8835,,,,,,C190600,2.0,0.0,2.0,,,,,,,,,,False
50.01.ALG8835,,,,,,C210400,1.0,0.0,1.0,,,,,,,,,,False
52.04.ALG4827,,,,,,C203500,2.0,0.0,2.0,,,,,,,,,,False
52.04.ALG4827,,,,,,C223700,2.0,0.0,2.0,,,,,,,,,,False
52.04.ALG8865,,,,,,C200800,0.0,0.0,0.0,,,,,,,,,,False
50.01.ALG8874,,,,,,C220500,0.0,0.0,0.0,,,,,,,,,,False
50.01.ALG8874,,,,,,C200600,0.0,0.0,0.0,,,,,,,,,,False
52.03.ALG8850,,,,,,C182900,2.0,0.0,2.0,,,,,,,,,,False
52.01.AGS19-1/2,,,,,,C203620,4.0,0.0,4.0,,,,,,,,,,False
52.01.AGS19-2/2,,,,,,C203620,4.0,0.0,4.0,,,,,,,,,,False
52.01.AGS19-1/2,,,,,,C203520,5.0,0.0,5.0,,,,,,,,,,False
52.01.AGS19-2/2,,,,,,C203520,5.0,0.0,5.0,,,,,,,,,,False
52.01.AGS19-1/2,,,,,,C203420,3.0,0.0,3.0,,,,,,,,,,False
52.01.AGS19-2/2,,,,,,C203420,4.0,0.0,4.0,,,,,,,,,,False
52.01.AGS19-1/2,,,,,,C203220,4.0,0.0,4.0,,,,,,,,,,False
52.01.AGS19-2/2,,,,,,C203220,4.0,0.0,4.0,,,,,,,,,,False
52.01.AGS19-1/2,,,,,,C203120,5.0,0.0,5.0,,,,,,,,,,False
52.01.AGS19-2/2,,,,,,C203120,5.0,0.0,5.0,,,,,,,,,,False
52.01.AGS19-1/2,,,,,,C203630,5.0,0.0,5.0,,,,,,,,,,False
52.01.AGS19-2/2,,,,,,C203630,5.0,0.0,5.0,,,,,,,,,,False
52.01.AGS19-1/2,,,,,,C203430,5.0,0.0,5.0,,,,,,,,,,False
52.01.AGS19-2/2,,,,,,C203430,5.0,0.0,5.0,,,,,,,,,,False
52.01.AICC09CR-1/2,,,,,,C193720,0.0,3.0,3.0,,,,,,,,,,False
52.01.AICC09CR-2/2,,,,,,C193720,0.0,3.0,3.0,,,,,,,,,,False
52.01.AICC12-1/2,,,,,,C223130,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-2/2,,,,,,C223130,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-1/2,,,,,,C223020,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-2/2,,,,,,C223020,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-1/2,,,,,,C223030,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-2/2,,,,,,C223030,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-1/2,,,,,,C222730,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-2/2,,,,,,C222730,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-1/2,,,,,,C233330,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC12-2/2,,,,,,C233330,3.0,0.0,3.0,,,,,,,,,,False
52.01.AICC90001,,,,,,C231830,2.0,1.0,3.0,,,,,,,,,,False
52.01.AICC90001,,,,,,C231730,5.0,0.0,5.0,,,,,,,,,,False
50.06.AICC27,,,,,,C193500,0.0,0.0,0.0,,,,,,,,,,False
52.03.AICC0312,,,,,,C243700,0.0,0.0,0.0,,,,,,,,,,False
50.02.AICC61,,,,,,C222400,1.0,0.0,1.0,,,,,,,,,,False
50.02.AICC61,,,,,,C223600,2.0,0.0,2.0,,,,,,,,,,False
52.04.AICC23,,,,,,C183200,1.0,0.0,1.0,,,,,,,,,,False
52.03.AICC140WG,,,,,,C231000,0.0,0.0,0.0,,,,,,,,,,False
52.04.AICC27,,,,,,C183500,1.0,0.0,1.0,,,,,,,,,,False
52.04.AICC27,,,,,,C182700,2.0,0.0,2.0,,,,,,,,,,False
73.02.4442,,,,,,AM0-01-04,11.0,4.0,15.0,,,,,,,,,,False
50.01.AICC05,,,,,,C160500,1.0,0.0,1.0,,,,,,,,,,False
50.01.AICC05,,,,,,C130600,4.0,0.0,4.0,,,,,,,,,,False
50.01.AICC260,,,,,,C190400,0.0,0.0,0.0,,,,,,,,,,False
50.01.AICC260,,,,,,C150600,0.0,0.0,0.0,,,,,,,,,,False
50.01.AICC77,,,,,,C140300,0.0,0.0,0.0,,,,,,,,,,False
50.01.AICC77,,,,,,C140500,2.0,1.0,3.0,,,,,,,,,,False
50.01.AICC77,,,,,,C140600,4.0,0.0,4.0,,,,,,,,,,False
75.02.5437-1/3,,,,,,BS1-19-03,1.0,0.0,1.0,,,,,,,,,,False
75.02.5437-2/3,,,,,,BS1-19-03,1.0,0.0,1.0,,,,,,,,,,False
75.02.5437-3/3,,,,,,BS1-19-03,1.0,0.0,1.0,,,,,,,,,,False
73.02.2370,,,,,,BS1-19-02,24.0,0.0,24.0,,,,,,,,,,False
73.02.5433-1/2,,,,,,BS1-08-02,16.0,0.0,16.0,,,,,,,,,,False
73.02.5433-2/2,,,,,,BS1-08-02,16.0,0.0,16.0,,,,,,,,,,False
A01.00.ACRS01,,,,,,C150500,0.0,0.0,0.0,,,,,,,,,,False
50.02.ACRS18,,,,,,C220800,1.0,0.0,1.0,,,,,,,,,,False
50.02.ACRS18,,,,,,C220700,2.0,0.0,2.0,,,,,,,,,,False
50.02.ACRS36,,,,,,C140100,3.0,0.0,3.0,,,,,,,,,,False
62.03.0272,,,,,,D243010,0.0,0.0,0.0,,,,,,,,,,False
62.03.0087,,,,,,D242910,11.0,0.0,11.0,,,,,,,,,,False
66.09.0027,,,,,,D233010,60.0,0.0,60.0,,,,,,,,,,False
66.09.0045,,,,,,D233210,0.0,0.0,0.0,,,,,,,,,,False
66.09.0049,,,,,,D233110,96.0,0.0,96.0,,,,,,,,,,False
66.09.0030,,,,,,D233010,29.0,0.0,29.0,,,,,,,,,,False
60.08.0349,,,,,,D232910,360.0,0.0,360.0,,,,,,,,,,False
60.08.0348,,,,,,D232910,360.0,0.0,360.0,,,,,,,,,,False
68.05.0060,,,,,,D232910,0.0,0.0,0.0,,,,,,,,,,False
67.13.0037,,,,,,D232810,24.0,0.0,24.0,,,,,,,,,,False
60.08.0317,,,,,,D232810,120.0,0.0,120.0,,,,,,,,,,False
60.08.0346,,,,,,D232810,300.0,0.0,300.0,,,,,,,,,,False
61.04.0186,,,,,,D232710,0.0,0.0,0.0,,,,,,,,,,False
63.11.0204,,,,,,D242710,20.0,0.0,20.0,,,,,,,,,,False
60.03.0951,,,,,,D242700,0.0,0.0,0.0,,,,,,,,,,False
61.04.0175,,,,,,D232710,50.0,0.0,50.0,,,,,,,,,,False
61.04.0169,,,,,,D232710,10.0,0.0,10.0,,,,,,,,,,False
61.04.0178,,,,,,D232610,5.0,0.0,5.0,,,,,,,,,,False
68.12.0096,,,,,,D232610,0.0,0.0,0.0,,,,,,,,,,False
68.12.0095,,,,,,D232610,0.0,0.0,0.0,,,,,,,,,,False
60.02.0157,,,,,,D232510,10.0,0.0,10.0,,,,,,,,,,False
61.01.0006,,,,,,D232510,0.0,0.0,0.0,,,,,,,,,,False
68.05.0078,,,,,,D232510,0.0,0.0,0.0,,,,,,,,,,False
60.03.0927,,,,,,D232400,0.0,0.0,0.0,,,,,,,,,,False
64.09.0080,,,,,,D232410,0.0,0.0,0.0,,,,,,,,,,False
64.09.0077,,,,,,D232410,0.0,0.0,0.0,,,,,,,,,,False
63.11.0205,,,,,,E170810,20.0,0.0,20.0,,,,,,,,,,False
40.04.0803,,,,,,D130800,4.0,0.0,4.0,,,,,,,,,,False
63.11.0179,,,,,,D232310,0.0,0.0,0.0,,,,,,,,,,False
40.04.0801,,,,,,D130900,0.0,0.0,0.0,,,,,,,,,,False
40.04.0808,,,,,,D131100,0.0,0.0,0.0,,,,,,,,,,False
40.04.0158-2/2,,,,,,D130220,15.0,0.0,15.0,,,,,,,,,,False
67.09.0021,,,,,,D232210,288.0,48.0,336.0,,,,,,,,,,False
61.02.0004,,,,,,D232300,20.0,0.0,20.0,,,,,,,,,,False
40.04.0156-1/2,,,,,,D130330,9.0,0.0,9.0,,,,,,,,,,False
40.04.0156-2/2,,,,,,D130420,16.0,0.0,16.0,,,,,,,,,,False
71.02.AMF3418,,,,,,AS1-34-02,5.0,0.0,5.0,,,,,,,,,,False
61.04.0092,,,,,,E232020,30.0,0.0,30.0,,,,,,,,,,False
67.13.0029,,,,,,D232410,10.0,0.0,10.0,,,,,,,,,,False
66.09.0032,,,,,,E231940,96.0,0.0,96.0,,,,,,,,,,False
66.09.0028,,,,,,E231720,48.0,12.0,60.0,,,,,,,,,,False
63.11.0147,,,,,,E231740,60.0,0.0,60.0,,,,,,,,,,False
66.09.0076,,,,,,E223120,84.0,0.0,84.0,,,,,,,,,,False
66.09.0023,,,,,,E223140,84.0,0.0,84.0,,,,,,,,,,False
66.09.0038,,,,,,E223240,96.0,0.0,96.0,,,,,,,,,,False
63.11.0213,,,,,,E232530,60.0,20.0,80.0,,,,,,,,,,False
66.09.0046,,,,,,E232430,90.0,0.0,90.0,,,,,,,,,,False
61.04.0175,,,,,,E232320,20.0,0.0,20.0,,,,,,,,,,False
64.09.0086,,,,,,E232230,0.0,36.0,36.0,,,,,,,,,,False
64.09.0086,,,,,,E232520,108.0,36.0,144.0,,,,,,,,,,False
61.04.0169,,,,,,E232220,20.0,0.0,20.0,,,,,,,,,,False
68.12.0096,,,,,,E232120,336.0,0.0,336.0,,,,,,,,,,False
61.01.0029,,,,,,E232130,10.0,10.0,20.0,,,,,,,,,,False
68.12.0095,,,,,,E232140,384.0,0.0,384.0,,,,,,,,,,False
60.02.0157,,,,,,E232030,20.0,0.0,20.0,,,,,,,,,,False
67.13.0029,,,,,,E231820,80.0,0.0,80.0,,,,,,,,,,False
67.13.0029,,,,,,E231830,50.0,0.0,50.0,,,,,,,,,,False
64.09.0077,,,,,,E231840,100.0,0.0,100.0,,,,,,,,,,False
64.09.0080,,,,,,E231930,240.0,0.0,240.0,,,,,,,,,,False
66.09.0051,,,,,,E231630,96.0,48.0,144.0,,,,,,,,,,False
61.09.0007,,,,,,E222440,20.0,20.0,40.0,,,,,,,,,,False
66.09.0027,,,,,,E222740,48.0,0.0,48.0,,,,,,,,,,False
66.09.0045,,,,,,E222840,128.0,0.0,128.0,,,,,,,,,,False
66.09.0045,,,,,,E223130,144.0,0.0,144.0,,,,,,,,,,False
66.09.0030,,,,,,E222920,94.0,0.0,94.0,,,,,,,,,,False
66.09.0035,,,,,,E222930,45.0,18.0,63.0,,,,,,,,,,False
66.09.0035,,,,,,E222940,81.0,0.0,81.0,,,,,,,,,,False
66.09.0035,,,,,,E223020,81.0,0.0,81.0,,,,,,,,,,False
66.09.0029,,,,,,E223030,24.0,0.0,24.0,,,,,,,,,,False
66.09.0026,,,,,,E223040,96.0,0.0,96.0,,,,,,,,,,False
66.09.0053,,,,,,E223230,96.0,48.0,144.0,,,,,,,,,,False
66.09.0033,,,,,,E232620,36.0,0.0,36.0,,,,,,,,,,False
61.03.0002,,,,,,E231530,30.0,0.0,30.0,,,,,,,,,,False
66.02.0161,,,,,,E231440,80.0,0.0,80.0,,,,,,,,,,False
66.02.0157,,,,,,E230420,0.0,4.0,4.0,,,,,,,,,,False
66.02.0157,,,,,,E230430,20.0,0.0,20.0,,,,,,,,,,False
66.02.0159,,,,,,E230440,60.0,12.0,72.0,,,,,,,,,,False
74.05.5006-1/2,,,,,,BS1-02-01,6.0,0.0,6.0,,,,,,,,,,False
74.05.5006-1/2,,,,,,BS1-02-02,6.0,0.0,6.0,,,,,,,,,,False
74.05.5006-2/2,,,,,,BS1-02-02,12.0,0.0,12.0,,,,,,,,,,False
75.04.4314,,,,,,AM0-21-03,1.0,0.0,1.0,,,,,,,,,,False
68.10.0152,,,,,,D232210,0.0,0.0,0.0,,,,,,,,,,False
60.03.0740,,,,,,D232300,0.0,0.0,0.0,,,,,,,,,,False
68.13.0175,,,,,,D232210,0.0,0.0,0.0,,,,,,,,,,False
61.08.0030,,,,,,D232110,0.0,0.0,0.0,,,,,,,,,,False
60.03.0878,,,,,,D242700,0.0,0.0,0.0,,,,,,,,,,False
64.14.0032,,,,,,D232010,0.0,0.0,0.0,,,,,,,,,,False
61.08.0031,,,,,,D232010,0.0,0.0,0.0,,,,,,,,,,False
61.08.0032,,,,,,D231910,0.0,0.0,0.0,,,,,,,,,,False
61.07.0071,,,,,,D232010,0.0,0.0,0.0,,,,,,,,,,False
61.07.0072,,,,,,D231910,0.0,0.0,0.0,,,,,,,,,,False
61.07.0086,,,,,,D231910,0.0,0.0,0.0,,,,,,,,,,False
61.07.0102,,,,,,D231810,300.0,0.0,300.0,,,,,,,,,,False
61.07.0109,,,,,,D231810,0.0,0.0,0.0,,,,,,,,,,False
60.03.0739,,,,,,E201200,0.0,0.0,0.0,,,,,,,,,,False
61.07.0092,,,,,,D231810,0.0,0.0,0.0,,,,,,,,,,False
61.07.0082,,,,,,D231810,0.0,0.0,0.0,,,,,,,,,,False
66.05.0039,,,,,,D231710,0.0,0.0,0.0,,,,,,,,,,False
60.03.1010,,,,,,D231710,2.0,0.0,2.0,,,,,,,,,,False
61.07.0075,,,,,,D231710,0.0,0.0,0.0,,,,,,,,,,False
60.03.0761,,,,,,E201200,0.0,0.0,0.0,,,,,,,,,,False
61.09.0003,,,,,,D243110,50.0,0.0,50.0,,,,,,,,,,False
61.09.0005,,,,,,D242810,0.0,0.0,0.0,,,,,,,,,,False
60.03.0713,,,,,,D242810,0.0,0.0,0.0,,,,,,,,,,False
64.04.0007,,,,,,D242710,0.0,0.0,0.0,,,,,,,,,,False
